reference,prediction,WER,CER
turizm qoruq ətrafındakı bütün ərazilərin inkişafının əsas sahəsidir,turizm qorux ətrafındakı bütün ərazilər inkişafının əsas sahəsidir,25.0,4.41
hər yeddi ildən bir keçirilir,hər yet deyildən bir çətirilir,60.0,24.14
qrup artıq fəaliyyətini dayandırmışdır,qrup artıq fəaliyyətini dayandırmışdır,0.0,0.0
iyunun əvvəlində çiçəkləyir,iyulun əvvəlində çiçəkləyiz,66.67,7.41
bundan sonra isə körpü bərpa edilməmişdir,bundan sonra isə çörpü bərpa edilməmişdir,16.67,2.44
dinozavrlar arasında ən uzun boyuna malik imiş,dinozaverlar arasında ən uzun boyuna malik imiş,14.29,2.17
qurultayda azərbaycanın bütün bölgələrini və tədris müəssisələrini təmsil edən nümayəndələr iştirak edirdilər,qurultayda azərbaycanın bütün bölgələrini və tədris məhsələlini təmsil edən nümayənlər iştirak edirdilər,16.67,6.42
ölkə müsabiqədə iştirak etdiyi illər ərzində heç vaxt qalib olmamışdır,ölkə müsəvqiyyədə iştirak etdiyi illər ərsində heç vaxt qalib olmamışdır,20.0,8.57
ortada qalan meydançanın iki tərəfini tağlar və onların arxasında yerləşən otaqlar təşkil edir,ortada qalan meydançanın iki tərəfini tağlar və onların arasında yerləşən otaqlar təşkil edir,7.69,1.06
dəmirçilər tərtər rayonunun eyniadlı inzibati ərazi vahidində kənd,dəmirçilər tərtər rayonunun eynadlı inzibati ərazi vahidində kənd,12.5,1.52
mağaraların girəcəyində aşkar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir,mağaraların girəcəyində aşikar edilmiş mədəni təbəqə qalıqları onların qədim insan məskənləri olduğunu göstərir,7.69,0.91
ilk işi şabran şəhərini ələ keçirmək oldu,ilk kişi şabran şəhərini ələ keçirmək oldu,14.29,2.44
əli amir uşaq yaşlarında ailəsi ilə birlikdə israilə köç edib,ali amir uşaq yaşlarında ailəsi ilə birlikdə israilə köç edib,10.0,1.64
kanalda ingilis və ispan dillərdə proqramlar nümayiş olunur,kanalda ingilis və ispan dillərdə proqramlar nümayəş olunur,12.5,1.69
təhsilini davam etdirmək istəsə də mümkün olmayıb,təhsilini davam etdirmək istəsə də mümkün olmayıb,0.0,0.0
cənubi koreyada,cənubi qurayada,50.0,20.0
müxtəlif illərdə fərqli sahələrdə iş fəaliyyətinə başlayır,müxtəlif illərdə fərqli sahələrdən iş fəaliyyətinə başlayır,14.29,1.72
kolbasa tam və ya doğranmış şəkildə servis edilir,qalbasa tam və ya doğranmış şəkildə servis edilir,12.5,4.08
çar ordusunda zabit kimi xidmət etmişdi,çar ordusunda zabit kimi xidmət etmişdi,0.0,0.0
adada göl yoxdur,adada göl yoxdur,0.0,0.0
bayraq mərasimi himnin sonu və cavabdeh müəllimin əmri ilə başa çatır,bayraq mərasimi himinin sonu və səvabdik müəllimin əmri ilə başa çatır,18.18,7.25
orta əsrlərdə geniş yayılmış bu oyun klassik ədəbiyyatımızın nümunələrindən də bəllidir,orta əsrlərdə geniş yayılmış bu oyun klasik ədəbiyyatımızın nümunələrindən də bəllidir,9.09,1.15
ingiltərədə nəşr edilmiş bu divan da məhəbbət lirikası üstünlük təşkil edirdi,ingiltərədən əşr edilmiş bu divanda möhəbbət lirikası üstünlük təşkil edirdi,45.45,5.19
gürcüstan hökumət qüvvələri tez bir zamanda abxaziyanın böyük bir hissəsinə nəzarəti bərpa etdi,gürcistan hökumət qüvvələri tez bir zamanda abxaziyanın böyük bir hissəsində nəzarəti bərpa etdi,15.38,2.11
bundan başqa xızır nəbi aşıq qərib dastanının azərbaycan versiyasının qəhrəmanıdır,bundan başqa xızır nəbi aşıq qəribdastanın azərbaycan versiyasının qəhrəmanıdır,20.0,3.66
hindistanla rusiya arasındakı strateji tərəfdaşlıq beş sahəni əhatə edir,indistanla rusiya arasında strategi tərəfdaşlıq 5 sahəni əhatə edir,44.44,9.72
qəsəbə adını oradakı eyniadlı çayın adından almışdır,qəsəbə adını oradakı eynadlı çayın adından almışdır,14.29,1.92
lena çayın sağ sahilində yerləşir,lena çənsal sahilində yerləşir,40.0,15.15
ağstafa rayonunun muğanlı kəndində dəfn olunub,axtafar ayınının uğanlı kəndində dəfn olunub,50.0,17.39
bir oğul övladı var,piroqlu vladovar,100.0,42.11
əsasən qar suları və yeraltı sularla qidalanır,qar suları və yer altı sularla qida alır,71.43,21.74
humanizm tərəfdarı deyildi,humanizm tərəfdarı deyildi,0.0,0.0
əsasən dağlıq ərazidir,asasən dağlıq ərazidir,33.33,4.55
imişli şəhərində dəfn olunub,imişli şəhərində dəfn olunub,0.0,0.0
həmin dövrdən indiyədək heydər əliyev adına saraya ləyaqətlə rəhbərlik edir,həmin dövrdən indiyana dək heydar ali vadnaz saraya ləyəqətlə rəhbərliyidir,80.0,20.0
hər iki xəstəliyi aradan qaldıra bildi,hər iki xəstəliyi aradan qaldıra bildi,0.0,0.0
şəhər alim və ixtiraçı nikola teslanın doğulduğu yerdir,şəhər alim və ixtiratlı nikola tesla nın doğulduğu yerdir,37.5,5.45
və braziliyanın ən böyük futbol klublarından biri hesab olunur,və braziliyanın ən böyük futbol klublarından biri hesab olunur,0.0,0.0
hazırda xarabalıqları qalır,hazırda xarabalıqlar qalır,33.33,3.7
daun sindromu ilə doğulan uşaqlarla erkən məşğul olmaq lazımdır,down sindromu ilə doğulan şəxslərlə erkən məşğul olmaq lazımdır,22.22,12.7
salyan rayonunun sarvan inzibati ərazi vahidində kənd,salyan rayonunun sarvan incibati ərazi vahidindəkəndir,42.86,7.55
şaxtalı aylarda sahil ərazilər donur,şəxtalı aylarda sahil ərazilər donur,20.0,2.78
siyasi mövzularda bir neçə kitabın müəllifidir,siyasi mövzularda bir neçə kitabın müəlliflidir,16.67,2.17
ion kristallarda meydana gəlir,ion qırıstallarda meydana gəlir,25.0,10.0
göl balıqçılıq üçün əlverişlidir,göv balıqçılığı üçün əlbərişlidir,75.0,15.62
şuşada doktor mirzə hüseyn bəy kimi tanınırdı,şüşada doktor mərdə hüseyn bəy kimi tanınırdı,28.57,6.67
bir müddət kikboksinq və futbol ilə məşğul oldu,bir mərdəd ki balsinginq və futbol ilə məşğul oldu,37.5,19.15
uzun qara geyimləri və quru bir atı vardır,uzun qara qeymləri və quru bir adı vardır,25.0,7.14
bütün işlər barışıq hakimi tərəfindən təkbaşına həll edilirdi,bütün müşlər qarışıq hakimi tərəfindən tək başına hələ dilirdi,75.0,9.84
komanda yoldaşları bunun oliverin mübarizə aparmaq üsulu olduğunu düşünürlər,komanda yoldaşları bunun oluverim və bazarı abarmaq usulü olduğunu düşünürlər,55.56,15.79
nuri bəy bu ilk cəhdindən böyük qazanc əldə etdi,nuru bəy bu ilk cəhətindən böyük qazanc əldə etdir,33.33,8.33
qurdlar camaatının bir tirəsinin adı idi,qurlar cəmatın bir tərəfsinin adı idi,50.0,17.5
saray kompleksi iran mədəni irs təşkilatı tərəfindən idarə olunur,saray kompleksi iran mədəni ifs təşkilatı tərəfindən idarə olunur,11.11,1.54
vətən müharibəsi başlayır,vətən müharibəsi başlayır,0.0,0.0
virus qaraciyərdə və qanda tapılar,virus qara ciyərdə və qanda taplar,60.0,5.88
ərazisində çöl bitkiləri üstünlük təşkil edir,iracisində çöl bitkiləri üstünlük təşkillədir,50.0,8.89
hərbi xidmətini başa vurduqdan sonra abbasov mingəçevir şəhərində elektrik quraşdırma idarəsində çalışıb,hərbi xidmətini başa vurduqdan sonra abbasov mingəçəvir şəhərində elektrik quraşdırma idarəsində çalışıb,8.33,0.96
günəş yerə ən yaxın ulduzdur,günəş yerə ən yaxın ulduzdur,0.0,0.0
elşən salayev vətən müharibəsində qəhrəmancasına şəhid olmuşdur,elşən salayev mətən müharibəsində qəhrəmancasına şəhəd olmuşdur,28.57,3.17
quyruğu qısa olur,qoyuruxu qısa olur,33.33,17.65
mahmud ailənin yeganə oğul övladı olmuşdur,mahmud ailənin yeganə oğul evladı olmuşdur,16.67,2.38
kənd təsərrüfatı ərazilərinin boz meşə və açıq boz torpaqlar təşkil edir,kənd təsarrufatı ərazilərinin boz məşə və açıq topraqlar təşkil edir,36.36,12.5
bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fasiləsiz müşahidələrin aparılması aiddir,bunlara ilk növbədə təbii şəraitdə baş verən proseslər üzərində fəsidəsiz müşahidələrin aparılması aiddir,7.69,1.9
indi həmin qədim yolla dəmir yolu xətti çəkilmişdir,indi həmin qədim yolla dəmir yolu xətti çəkilmişdir,0.0,0.0
böyük iskəndərin çatdığı ən son bölgə olduğu təxmin edilir,böyük iskəndərin çatdığı ən son bölcə olduğu təqmin edilir,22.22,3.45
ilk boyu şaxta müşahidə edilir,il boyu şaxta müşahidə edilir,20.0,3.33
qalaktika topaları qalaktikalar daxilindəki ulduz quruluşları olan ulduz topaları ilə qarışdırılmamalıdır,qalaktika topları qalaktikalar daxilindəki ulduz quruşları olan uldız topaları ilə qarışdırılmamalıdır,27.27,3.81
avropanın ticarətlə məşğul olan dairələri yaxın şərqdəki mühüm strateji məntəqələri əldə etməkdə maraqlı idilər,avropanın ticərətlə məşğul olan dairələri yaxın şərtdəki mühüm strategi məntiqələrə əldə etməkdə maraqlı bilirlər,35.71,7.21
bir neçə il sonra ölkəsinə geri dönməsinə icazə verildi,bir neçə il sonra ölkəsinə geri dönməsin icazə verildi,11.11,1.82
kəndin adı onun coğrafi mövqeyini əks etdirir,kəndin adı onun coğrafi növbəyini əks etdirir,14.29,6.67
london işçi ailəsindən gəlirdi,london işçi ailəsindən gəlirdi,0.0,0.0
hər ikisi sağda olan alay geri çəkilməyə başladı,hər ikisi sağda olan alaq geri çəkilməyə başladı,12.5,2.08
öz zəhməti ilə fransızca öyrəndi,öz zəhməti ilə fransızı öyrəndi,20.0,6.25
atası qustav oğlunu futbolçu kimi görmək istəyirdi,atası kustaba oğlunu vıtbolcu kimi görünəşdəyirdi,57.14,26.0
şəhərin mərkəzi hissəsi perl çayının sağ sahilində yerləşir,şəhərin mərkəzi hissəsi perilçayının sax sayında yerləşir,50.0,13.56
buna görə rayonu bir neçə hissəyə bölmək məcburi olmuşdu,buna görə rayonu bir neçə hissəyə bilmək məcburi olmuşdur,22.22,3.57
bu teatrın əsas vəzifəsi fəhlələr və kasıblar arasında bolşevik təbliğatı aparmaq olmuşdur,bu teatrın əsasləri çəsik təhqirlər və kəsifar arasında bol şey bir təbriqat aparmaq olmuşdur,66.67,24.44
təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyüşçü tədqiqata başlayır,təlim mərkəzlərindən birinə edilən sirli hücumun ardından iki ən yaxşı döyücüsü tədqiqatı başlayır,15.38,4.12
orta təhsilini ağdam rayonunda alıb,orta təhsilini ağdam rayonunda alıb,0.0,0.0
estetik mənada konkret təbiət gözəllikləri ümumən yenə gözəl bir qadınla birlikdə təqdim edilir,estetik manada konkret təbiət gözəllikləri ümumən yenə gözəl bir qadınla birlikdə təqdim edilir,7.69,1.05
strabon özünün məşhur tarix əsərində də abxaziya ərazisi və orada yaşayan xalqlar barədə yazmışdı,starbun özünün məşhur tarix əsərində avqazi ərazisi və orada yaşayan haqlar barədə yazmışdı,28.57,12.37
sovet mədəniyyət və incəsənət nümayəndə heyətinin tərkibində amerika və afrika ölkələrində olmuşdur,soveti mədəniyyət və indisənət müəyyən də həyatının tərkibində amerika və afrika ölçələrində olmuşdu,58.33,13.13
diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında moskvanı tərk etdi,diplomunu aldığı zaman casusluq vəzifəsinin hissəsi olan bir əmr altında moskvanı tərk etdi,0.0,0.0
alimin rəhbərliyi ilə onlarla elmlər namizədi hazırlanmışdır,ademin rəhbərliyi ilə onlarla filmlər namizədə hazırlanmışdır,42.86,8.33
körpünün yerləşdiyi qarabağ məhəlləsi zəngəzur mahalından qaçıb bura gələnlərin adı ilə adlanıb,köprünün yerləşdiyi qarabağ məhəlləsi zəncüzül mahallından qaçıb bura gələnlərin adı ilə adlanıb,25.0,7.37
çimərlik ərazidə kanadanın ən uzun hovuzu yerləşir,itiməliç ərazidə kanadanın ən uzun provuzu yerləşir,28.57,12.0
çünki o yoxdur,çünki o yoxdur,0.0,0.0
bəzi televiziya sənədli filmlərinin məsləhətçisi idi,bəzi televiziya sənətli filmlərinin məsləhətçisidir,50.0,7.69
göldə mülayim iqlim şəraiti hökm sürür,gülümlüyüm ilim şəraiti hüküm sürür,66.67,26.32
goranboy rayonu fəxralı kənd tam orta məktəbi şəhid teymur sadıqovun adını daşıyır,göranboylayanı fəxralı kənd təmətə məktəbi şəhid teymur salıqovun adına daşıyır,50.0,14.63
rəhbərlik öz siyasətində və iqtisadiyyatında dəyişikliklər tələb etdi,rəhbərlik öz siyasətində və iqtisadətdə dəyişikliklər talab etdi,25.0,13.04
sadalanan üsullardan savayı ermənilər vaşinqtonda təsir qrupları da yaratmağa nail olurlar,sadalanan üsullardan savayı ermənilər başqa təsir qrupları yaratmağa nail olurlar,18.18,11.11
